district,nitrogen,phosphorus,potassium,temperature,ph,rainfall,label,yield,area,season,humidity,irrigation_type,soil_type,year_actual
31,80.49,50.51,73.92,22.2,6.69,303.76,ONION,0.247898,30783.93,4,60.74,2,0,2011
19,25.39,46.42,20.53,27.45,6.55,437.2,MOTHBEANS,0.012791,35723.9,2,43.19,0,1,2010
6,28.07,54.0,46.48,23.86,6.09,805.44,LENTIL,0.036369,47376.01,1,50.77,3,4,2011
8,98.32,56.05,58.26,22.64,6.74,815.91,ONION,0.436068,37380.13,1,54.58,3,1,2018
33,124.49,72.59,87.61,20.77,6.28,456.81,POTATO,0.284531,30052.3,4,70.32,4,0,2018
24,22.43,78.18,46.2,21.62,6.13,536.4,SOYABEAN,0.01,13190.92,3,72.79,0,1,2022
3,120.31,68.64,55.95,34.45,7.01,1199.16,COTTON,0.04197,20189.3,3,69.88,2,0,2013
12,114.52,58.96,64.26,24.31,7.76,748.41,COTTON,0.057045,31305.72,1,46.87,3,0,2011
27,105.0,56.01,82.46,28.42,6.39,605.28,GRAPES,0.03651,45749.34,4,48.4,4,3,2018
6,116.73,70.38,98.61,21.1,6.23,963.79,POTATO,0.224223,6706.52,3,72.33,0,2,2018
16,26.53,44.21,57.49,32.58,7.39,808.18,BLACKGRAM,0.020169,45806.38,3,62.99,0,2,2016
35,36.07,43.55,31.17,25.06,6.5,582.57,LENTIL,0.026874,22181.45,1,53.45,0,3,2016
27,103.39,69.8,57.85,28.78,6.4,825.3,MAIZE,0.038866,37859.13,3,72.41,1,3,2011
1,83.35,54.68,45.63,35.19,6.78,581.46,BAJRA,0.023737,19821.76,4,49.8,0,0,2016
17,135.26,63.17,87.9,28.64,6.56,1887.62,SUGARCANE,1.527987,10840.77,2,62.29,2,2,2017
2,122.15,63.64,86.07,22.16,6.21,644.11,POTATO,0.07902,40504.13,4,60.18,3,0,2022
35,159.11,66.21,63.75,27.63,6.13,1513.08,BANANA,0.563022,4271.35,4,71.37,4,2,2018
31,15.73,37.12,36.69,31.05,7.3,710.45,MOTHBEANS,0.06217,5527.24,4,60.3,1,0,2022
7,80.63,41.78,44.68,32.48,6.91,478.2,BAJRA,0.028093,6085.02,2,35.68,0,1,2015
29,21.88,46.94,45.4,22.06,6.72,519.68,LENTIL,0.059108,42449.82,2,50.56,0,3,2020
23,132.69,63.44,78.63,22.12,6.94,1328.2,SUGARCANE,0.211744,26417.76,4,62.76,2,1,2014
34,38.4,57.2,55.57,31.36,7.21,432.04,BLACKGRAM,0.129861,41491.46,4,56.08,1,3,2010
13,93.6,54.08,49.58,33.54,6.82,259.51,BAJRA,0.01,6622.94,4,53.56,0,0,2011
8,14.02,35.14,20.56,34.35,7.86,466.89,MOTHBEANS,0.01,22461.57,1,49.8,0,0,2022
19,123.76,73.71,80.95,21.49,5.96,990.82,POTATO,0.253917,41172.17,3,76.99,0,0,2016
16,98.51,46.17,53.83,31.61,6.06,476.87,JOWAR,0.020602,35477.86,4,47.3,0,0,2015
26,30.23,45.66,42.91,30.08,7.13,456.52,BLACKGRAM,0.119562,22804.79,3,66.07,1,1,2020
30,119.06,59.44,73.2,27.78,6.53,524.59,GRAPES,0.011407,18011.93,1,35.77,2,4,2022
23,80.67,49.56,44.6,34.42,7.83,354.81,JOWAR,0.01,43667.06,4,48.31,0,0,2014
32,128.17,58.48,57.98,29.47,5.99,1695.36,RICE,0.105079,26961.8,3,78.13,2,3,2010
26,107.08,55.52,46.03,12.09,6.81,888.97,WHEAT,0.024317,13261.67,3,41.68,1,1,2023
32,26.01,50.71,62.69,22.63,6.81,1074.83,GROUNDNUT,0.030066,31770.65,3,70.58,0,3,2021
8,116.1,59.54,65.69,22.89,7.37,458.78,COTTON,0.060151,33027.4,2,50.83,1,0,2014
2,21.27,55.56,56.8,29.96,6.98,719.42,GROUNDNUT,0.015138,42025.29,4,62.48,0,2,2014
7,127.44,61.99,45.41,28.62,7.23,1061.65,MAIZE,0.033827,36403.36,2,76.32,3,1,2023
16,93.2,61.92,89.73,18.7,6.0,566.7,GRAPES,0.01,33372.62,3,43.3,4,3,2020
33,25.66,44.88,48.0,26.43,7.87,632.9,LENTIL,0.01,9762.17,4,47.49,0,4,2022
31,22.12,66.82,52.25,31.95,6.54,934.51,SOYABEAN,0.01,48588.53,3,59.84,0,3,2010
4,34.98,52.38,61.43,24.6,6.64,988.78,GROUNDNUT,0.027032,3673.52,4,72.64,0,4,2022
18,134.6,60.03,49.74,21.58,6.69,698.78,MAIZE,0.081847,24965.92,1,48.55,1,0,2018
17,90.93,53.27,48.31,37.56,7.11,264.68,BAJRA,0.01,36470.6,2,36.17,0,0,2010
21,135.62,75.9,71.21,21.81,6.07,1711.33,TURMERIC,0.11786,43443.25,2,77.02,3,0,2021
19,85.86,72.24,79.27,33.77,7.17,795.73,GRAPES,0.01076,5204.74,2,44.42,3,3,2013
23,81.44,66.65,61.59,28.2,6.97,588.98,ONION,0.063817,2260.3,2,59.9,1,2,2023
33,118.94,62.92,45.13,24.66,5.75,1391.83,RICE,0.064162,33783.57,1,73.52,4,1,2017
12,107.49,71.2,78.16,30.47,7.0,335.23,GRAPES,0.018793,40394.04,3,40.11,3,4,2020
8,104.35,47.77,46.8,34.31,6.52,758.81,JOWAR,0.010374,28314.23,4,35.87,0,0,2023
16,83.45,52.24,46.05,36.19,6.64,386.72,BAJRA,0.01,47499.96,4,58.59,0,1,2012
17,125.38,79.88,65.18,22.85,6.3,1854.82,TURMERIC,0.295541,16559.9,1,69.0,3,3,2016
27,128.31,77.38,60.02,28.74,6.16,1598.13,TURMERIC,0.011367,43993.76,3,64.14,2,0,2021
5,109.39,60.74,72.1,25.47,7.35,445.59,GRAPES,0.02581,48120.96,2,57.37,3,4,2013
11,16.54,31.2,23.9,39.78,6.77,676.95,MOTHBEANS,0.03467,16405.62,2,44.69,0,0,2019
5,15.05,44.55,23.56,27.4,6.86,588.82,MOTHBEANS,0.01,11889.36,3,33.09,0,0,2011
33,124.28,69.34,55.52,23.16,6.31,828.04,RICE,0.049185,378.31,4,93.82,3,4,2023
29,101.93,54.42,72.68,20.59,6.6,413.21,ONION,0.127514,22634.24,2,62.44,1,0,2013
17,125.53,72.34,72.09,27.97,6.61,1251.54,TURMERIC,0.082394,11763.31,2,86.52,2,3,2018
13,103.18,75.73,89.09,17.2,6.14,463.2,POTATO,0.056659,23056.72,2,61.64,1,1,2018
8,150.99,71.04,70.21,27.09,7.17,1562.99,BANANA,0.97232,40306.38,3,66.06,4,0,2023
11,20.15,54.78,62.41,27.55,6.82,693.45,GROUNDNUT,0.022146,39407.28,2,52.23,0,4,2016
5,34.6,56.8,34.84,20.87,6.84,584.2,LENTIL,0.046853,21796.24,3,60.32,1,2,2015
11,29.37,50.8,58.71,32.8,6.2,472.73,BLACKGRAM,0.102377,28522.95,4,50.98,0,3,2011
21,135.2,73.22,72.68,25.83,6.17,1607.47,SUGARCANE,0.596005,163.51,2,58.17,2,2,2018
29,24.21,61.88,41.52,25.73,6.37,974.93,SOYABEAN,0.032987,42523.79,4,61.19,0,2,2013
5,30.96,43.09,51.4,31.35,6.43,604.76,BLACKGRAM,0.056558,849.9,2,67.94,0,2,2021
34,103.24,63.88,43.48,10.46,6.89,446.01,WHEAT,0.023117,21260.1,4,63.74,1,1,2015
15,115.94,63.41,46.5,29.8,6.71,1096.78,MAIZE,0.055836,28219.37,1,52.1,2,0,2015
8,109.4,54.97,53.28,34.47,7.54,544.67,JOWAR,0.01,21359.6,4,63.58,0,0,2019
30,117.17,67.36,89.04,29.19,7.03,356.2,GRAPES,0.013917,14190.94,3,57.57,4,3,2021
6,31.57,50.79,57.01,28.25,6.53,810.62,BLACKGRAM,0.122431,42452.94,1,51.93,1,1,2012
11,103.39,41.75,46.07,33.44,7.11,340.64,JOWAR,0.01,34169.35,2,31.8,0,0,2023
28,81.95,41.19,51.4,32.44,6.41,493.35,JOWAR,0.020001,36336.44,4,43.53,0,0,2020
25,128.21,79.71,65.66,26.12,5.98,1085.71,TURMERIC,0.278236,7123.42,3,60.79,2,1,2011
20,12.25,44.94,38.19,35.98,6.56,752.05,MOTHBEANS,0.011828,27438.79,3,54.97,0,0,2011
5,96.81,69.88,66.68,27.47,6.75,524.56,ONION,0.15893,37028.28,3,59.62,2,1,2019
6,32.4,63.27,52.86,25.52,6.42,784.72,GROUNDNUT,0.011381,22906.18,4,65.77,0,4,2016
25,21.4,57.52,61.23,31.01,6.21,887.2,GROUNDNUT,0.010815,22286.71,2,66.25,0,4,2022
30,32.22,51.18,31.21,27.84,6.36,589.31,GRAM,0.01,36933.89,1,35.81,0,3,2016
31,135.1,69.84,80.87,26.59,6.54,1956.09,SUGARCANE,1.53215,47709.82,4,66.21,3,2,2017
32,30.16,42.91,51.74,28.61,6.32,664.97,BLACKGRAM,0.065112,7132.49,2,73.84,0,2,2015
24,112.25,63.57,54.47,23.1,6.25,754.52,COTTON,0.01,19357.09,4,74.94,2,0,2010
4,119.87,76.78,81.1,24.18,6.12,661.68,POTATO,0.056389,11395.56,2,70.05,2,0,2020
7,128.67,57.36,58.22,29.5,7.03,740.37,COTTON,0.169504,30860.81,3,46.71,2,0,2010
17,32.42,61.26,50.62,29.71,6.71,503.79,SOYABEAN,0.028763,45041.61,4,47.61,0,0,2017
15,152.55,82.82,65.77,26.55,7.17,981.02,BANANA,0.602708,20610.72,3,70.1,4,3,2023
6,116.11,54.1,54.19,28.83,6.58,449.92,COTTON,0.073144,23924.48,2,68.96,3,0,2015
31,21.25,60.58,57.15,26.57,6.44,930.16,GROUNDNUT,0.044111,3972.71,2,69.99,0,4,2010
23,22.55,47.67,38.93,22.22,6.31,898.78,LENTIL,0.082449,7495.51,4,40.26,0,2,2014
31,28.44,53.69,40.03,19.2,6.45,416.42,GRAM,0.033804,21003.23,1,55.17,0,3,2014
27,123.98,59.81,47.68,23.29,6.27,718.79,WHEAT,0.019119,35337.74,2,40.98,1,1,2011
19,113.91,59.81,86.92,16.58,6.68,357.02,GRAPES,0.011302,2011.03,3,53.14,3,2,2016
20,38.48,57.3,42.13,22.51,6.28,771.56,LENTIL,0.049566,13163.49,1,44.15,0,4,2012
24,33.32,52.0,57.87,25.32,6.99,705.91,GROUNDNUT,0.029442,42290.67,2,52.49,0,4,2023
11,39.66,59.92,52.27,26.66,6.63,536.09,GROUNDNUT,0.018902,38326.85,2,59.4,1,4,2017
5,121.12,63.54,63.12,32.48,6.1,1141.68,COTTON,0.037261,16973.13,1,45.96,1,0,2019
13,149.97,81.7,71.09,29.11,6.77,1691.68,BANANA,1.331664,31149.61,1,87.96,3,0,2021
15,36.01,48.07,34.38,20.44,6.39,883.95,LENTIL,0.092356,11511.97,2,67.73,2,4,2014
32,157.83,68.68,73.8,29.98,7.33,1347.36,SUGARCANE,0.937164,2283.78,2,89.76,2,1,2012
19,92.82,41.7,46.51,33.58,7.61,478.64,JOWAR,0.046999,42121.22,3,50.78,0,1,2017
7,102.15,53.04,51.27,24.0,7.04,1016.75,COTTON,0.085308,15065.43,4,54.83,0,1,2023
13,28.46,57.03,30.41,19.99,6.16,580.34,GRAM,0.02398,9588.24,3,46.9,1,3,2010
16,109.84,65.23,74.77,32.58,6.9,756.06,GRAPES,0.022228,7848.44,2,65.36,3,4,2016
4,36.27,57.43,53.61,31.12,6.36,878.43,GROUNDNUT,0.019406,35983.54,1,62.08,0,4,2011
10,82.0,45.29,46.04,30.65,6.4,528.45,BAJRA,0.041598,29062.87,3,51.82,0,0,2010
30,115.17,68.47,49.27,18.46,6.4,339.66,WHEAT,0.065859,30074.12,1,44.21,0,0,2018
1,111.68,69.64,43.88,22.41,5.92,940.43,RICE,0.049059,1627.84,2,74.56,3,1,2015
28,39.57,53.96,63.13,28.31,6.08,406.2,GROUNDNUT,0.016961,26278.88,1,60.18,0,3,2018
8,146.46,83.79,74.5,26.59,6.6,1255.36,BANANA,0.972964,49563.06,3,67.38,3,1,2017
10,115.72,60.98,50.76,17.6,6.67,660.12,WHEAT,0.08581,42058.16,1,55.8,0,0,2020
23,25.01,31.17,35.87,27.85,7.79,758.1,MOTHBEANS,0.01,9011.74,4,36.09,0,0,2012
23,99.07,49.63,44.47,37.43,6.6,481.05,BAJRA,0.022625,45151.18,2,45.94,0,0,2013
6,105.72,59.75,42.05,10.8,7.05,843.35,WHEAT,0.01,8839.5,4,37.51,1,1,2019
28,132.8,64.41,52.87,25.28,6.56,972.1,RICE,0.040134,19265.87,2,67.02,3,1,2011
27,105.16,67.74,55.21,26.85,6.65,640.95,ONION,0.214982,47799.56,4,69.51,1,0,2019
33,87.54,61.33,64.13,26.06,6.2,492.11,ONION,0.219612,6181.26,4,48.04,0,0,2021
32,106.64,68.1,63.66,20.31,6.96,1093.33,MAIZE,0.036405,16300.5,2,73.54,1,0,2017
17,138.08,69.23,50.58,23.98,6.64,825.11,MAIZE,0.107291,43850.06,4,54.88,2,0,2023
31,81.69,45.99,53.65,34.03,6.67,528.01,BAJRA,0.027553,36485.76,1,45.97,0,0,2015
1,100.27,74.76,97.6,19.13,6.44,864.72,POTATO,0.190962,8825.06,3,71.93,1,2,2020
35,104.15,64.25,87.93,15.41,6.38,563.76,GRAPES,0.01,44168.69,2,40.12,4,3,2022
24,137.26,57.64,43.24,25.57,5.63,1397.3,RICE,0.057171,39732.27,1,70.51,4,1,2012
2,130.75,79.73,88.56,22.15,7.21,1496.86,SUGARCANE,0.20531,49696.16,4,86.78,3,2,2014
33,138.27,67.54,57.18,27.88,6.76,784.31,MAIZE,0.085738,36224.79,3,66.62,0,0,2013
23,117.17,70.67,84.41,24.61,7.34,300.47,GRAPES,0.02899,33731.6,2,54.04,4,4,2016
9,32.93,71.04,58.89,28.33,6.55,870.92,SOYABEAN,0.03704,15208.9,2,50.92,0,4,2019
5,34.88,46.56,36.2,25.79,6.34,335.42,GRAM,0.01,5466.71,3,42.37,1,4,2015
7,32.41,61.4,48.13,26.57,6.82,628.24,SOYABEAN,0.01,20542.13,3,74.0,0,2,2018
10,140.04,72.64,61.03,20.16,6.48,1175.88,TURMERIC,0.063333,43504.08,3,68.73,0,1,2022
12,149.92,79.42,77.41,28.31,6.86,1393.1,TURMERIC,0.074071,32526.5,2,65.9,0,3,2016
30,98.98,45.29,41.15,22.47,7.7,467.0,JOWAR,0.01,2036.72,3,59.1,0,0,2020
24,112.74,68.9,53.85,17.95,6.02,308.62,WHEAT,0.033923,36628.33,4,43.43,2,1,2011
12,151.0,79.57,82.46,27.55,6.65,1164.97,SUGARCANE,0.856479,37439.63,4,89.07,1,1,2012
27,139.1,66.07,52.32,28.67,6.2,1024.36,MAIZE,0.051753,2882.83,4,55.57,2,0,2020
29,119.53,52.9,58.37,32.7,7.35,439.73,COTTON,0.065738,6501.31,3,50.93,1,0,2017
33,89.71,46.73,54.92,37.66,6.46,576.05,BAJRA,0.013522,11938.73,4,38.52,1,0,2017
20,30.0,51.94,58.48,33.38,6.01,419.37,GROUNDNUT,0.01,19813.2,1,62.32,0,4,2014
20,99.99,43.95,48.64,37.02,6.99,309.33,BAJRA,0.01,8314.9,4,40.63,0,0,2015
21,148.61,61.58,75.7,29.61,5.64,1153.87,TURMERIC,0.01,9448.53,3,74.8,1,1,2013
19,101.76,68.36,96.6,21.18,6.49,840.17,POTATO,0.149281,38175.69,3,67.96,1,2,2010
27,113.6,64.78,42.58,18.73,6.04,879.21,WHEAT,0.021821,45463.56,3,42.45,2,0,2015
11,149.39,72.42,60.32,21.92,6.05,1591.9,TURMERIC,0.310107,2514.6,2,71.13,2,0,2010
12,38.25,76.29,58.09,21.24,6.85,631.65,SOYABEAN,0.01,26350.34,4,47.71,0,3,2015
28,17.95,37.25,28.09,29.95,7.45,688.18,MOTHBEANS,0.037174,34538.97,2,42.95,0,1,2011
34,80.25,59.17,85.68,22.48,6.34,878.4,GRAPES,0.055073,27831.75,2,71.54,4,3,2016
11,23.49,47.43,36.69,39.18,7.76,689.26,MOTHBEANS,0.043343,15563.49,3,60.32,0,0,2021
6,128.44,59.51,50.15,22.64,6.07,1035.5,MAIZE,0.055886,24147.24,2,75.39,1,0,2016
33,22.9,49.51,26.18,39.69,7.77,419.47,MOTHBEANS,0.024782,43102.67,3,57.64,0,0,2010
2,20.72,50.62,36.83,18.94,6.28,528.61,LENTIL,0.027012,2131.5,2,64.8,0,3,2013
18,22.27,48.27,26.22,25.22,6.84,743.94,MOTHBEANS,0.047094,14086.89,2,49.74,1,0,2023
3,26.6,32.51,25.69,29.35,7.43,301.64,MOTHBEANS,0.023301,2181.36,1,36.17,0,0,2017
22,92.5,73.02,84.17,33.07,6.91,526.8,GRAPES,0.017936,41456.23,4,66.47,2,2,2020
23,33.2,53.12,47.67,21.8,7.37,394.41,GRAM,0.022451,31933.19,2,40.79,2,2,2022
11,100.95,59.99,51.25,18.7,7.27,626.66,WHEAT,0.039743,45921.5,3,50.95,2,2,2017
10,81.16,51.94,40.96,28.53,7.14,700.03,JOWAR,0.056907,10847.31,4,54.71,0,0,2022
25,102.54,67.41,47.84,31.82,6.7,1645.99,RICE,0.03243,44610.48,4,63.31,3,3,2013
32,20.33,42.48,42.17,23.98,6.52,892.63,LENTIL,0.062411,34197.17,2,48.13,0,4,2015
5,135.69,70.39,83.22,26.06,7.01,1874.72,SUGARCANE,1.154666,21706.74,4,84.65,3,2,2013
14,85.49,48.42,45.74,33.69,6.89,348.33,BAJRA,0.027803,38063.17,3,49.98,0,1,2016
2,117.2,61.25,48.95,12.68,6.54,576.17,WHEAT,0.02162,37449.59,3,39.85,2,0,2015
4,38.87,45.73,37.08,22.85,6.48,545.06,LENTIL,0.017823,15545.96,1,41.81,1,3,2016
27,39.89,74.98,43.13,26.03,6.18,792.51,SOYABEAN,0.03967,17282.1,4,56.37,1,3,2016
21,94.92,49.99,41.0,24.2,7.33,517.22,JOWAR,0.029243,19990.19,3,47.37,0,0,2011
28,144.48,78.71,63.44,21.01,5.78,1121.93,TURMERIC,0.063685,32172.96,3,74.78,1,0,2021
6,127.96,68.8,90.29,18.97,6.18,852.11,POTATO,0.233259,18128.77,1,73.29,0,1,2016
5,27.99,66.43,59.79,25.0,6.37,931.31,SOYABEAN,0.052257,30430.34,2,65.68,0,0,2021
26,126.28,66.67,66.58,24.28,6.55,489.1,COTTON,0.053093,24450.19,3,72.68,2,1,2015
16,132.42,61.61,75.96,23.52,6.28,1055.21,SUGARCANE,0.206975,28749.89,4,61.62,2,1,2021
33,120.74,59.5,64.05,22.55,6.58,971.25,COTTON,0.054253,39761.59,3,71.42,1,0,2010
32,137.15,50.19,60.99,29.98,6.48,591.15,COTTON,0.066219,17761.64,3,46.62,2,0,2015
24,123.15,60.82,67.7,24.6,5.6,1100.78,TURMERIC,0.140247,26516.56,2,66.5,0,0,2018
18,25.07,53.68,44.63,19.27,6.26,638.91,GRAM,0.01,18179.62,3,52.96,0,4,2013
4,80.08,40.17,46.25,32.15,6.71,206.92,BAJRA,0.025141,28201.9,1,55.73,0,1,2022
34,117.14,68.49,53.6,29.64,5.62,1464.51,RICE,0.052211,22100.93,3,73.07,3,1,2021
17,127.35,71.39,61.68,24.82,6.04,1898.57,TURMERIC,0.388892,36267.0,1,74.09,2,2,2022
33,91.46,53.99,48.63,27.0,7.44,209.16,BAJRA,0.017644,30357.91,4,36.71,0,0,2012
11,29.79,56.7,46.57,27.65,7.46,723.12,LENTIL,0.01,41673.56,3,42.95,1,4,2016
8,85.28,71.23,85.05,19.59,6.55,416.75,GRAPES,0.01,15543.44,4,67.97,3,4,2016
16,155.25,71.96,79.16,26.9,7.18,1318.41,SUGARCANE,0.986131,1641.17,3,76.8,1,2,2017
6,132.45,58.26,55.12,30.53,6.09,1745.78,RICE,0.10367,36268.11,3,69.98,4,0,2015
15,109.95,69.52,50.3,22.38,6.4,830.78,MAIZE,0.050132,38116.82,4,57.52,2,0,2012
7,37.69,53.46,50.99,30.79,6.56,763.77,BLACKGRAM,0.053143,4174.18,4,75.13,0,2,2022
12,133.16,74.79,70.26,24.44,6.22,1525.76,BANANA,0.166774,49430.69,2,79.2,4,0,2022
31,105.95,60.34,72.12,21.93,7.44,645.75,ONION,0.207783,9653.44,2,65.28,2,2,2010
29,22.98,40.91,42.44,26.7,6.51,637.43,GRAM,0.01,9690.96,4,60.19,0,3,2020
35,102.21,61.98,95.48,19.09,5.52,567.34,POTATO,0.159108,31465.38,2,61.2,1,1,2011
7,38.89,40.68,39.48,20.12,7.55,499.92,LENTIL,0.066267,41843.32,4,54.38,1,4,2016
16,98.66,64.33,88.24,22.19,6.67,450.0,GRAPES,0.036114,24076.04,3,51.3,3,4,2021
34,30.08,55.38,48.57,31.72,6.77,1113.02,GROUNDNUT,0.035135,18840.56,4,66.46,1,2,2019
17,101.39,51.66,44.07,31.41,7.14,485.92,JOWAR,0.030186,14660.55,4,47.5,0,0,2022
4,153.26,78.14,73.02,25.94,6.18,1656.12,SUGARCANE,0.880246,2947.17,1,85.31,2,2,2011
19,26.6,58.77,36.35,22.01,6.13,365.44,GRAM,0.01,15014.7,2,58.64,2,3,2010
31,29.6,72.65,45.96,20.88,6.85,573.72,SOYABEAN,0.016051,38597.95,3,65.32,0,1,2023
1,85.64,63.28,65.31,29.83,6.91,771.66,ONION,0.129527,48029.43,3,47.99,1,0,2019
18,130.21,70.33,78.04,26.38,7.39,1755.4,BANANA,0.525554,42986.02,1,60.39,4,1,2011
26,103.11,66.12,72.77,18.65,6.64,516.75,ONION,0.215667,11077.45,1,57.46,2,2,2022
13,90.26,42.92,41.4,32.36,6.2,414.15,BAJRA,0.021171,8250.5,2,52.54,0,0,2013
35,21.51,35.33,28.31,34.53,7.99,472.13,MOTHBEANS,0.033777,10672.04,2,43.63,1,0,2010
30,110.54,59.7,54.7,25.51,6.93,1137.52,RICE,0.073226,16388.69,4,68.04,3,2,2012
14,107.68,59.61,57.94,21.1,7.53,1049.89,COTTON,0.057245,32808.07,2,60.35,2,0,2020
3,99.29,66.9,72.53,21.97,7.11,905.4,ONION,0.211609,42354.94,1,41.93,0,0,2013
22,27.17,56.97,44.36,15.44,6.41,387.71,GRAM,0.01,11882.82,4,64.74,0,2,2016
15,10.95,39.91,36.75,26.11,8.0,517.76,MOTHBEANS,0.01,28464.52,4,40.78,0,1,2010
17,32.03,46.55,36.03,16.73,7.15,440.16,LENTIL,0.01,33113.0,3,66.16,1,4,2020
22,124.54,57.62,53.72,31.03,6.97,1110.5,MAIZE,0.027695,30552.42,3,64.44,2,1,2011
8,103.23,56.78,54.62,18.39,6.84,870.49,MAIZE,0.035413,27732.04,2,71.77,2,0,2021
28,123.87,60.74,49.17,27.84,6.42,1058.88,MAIZE,0.083205,13152.54,1,48.76,0,1,2010
18,88.05,45.62,42.74,28.77,6.86,363.76,BAJRA,0.021462,17956.27,4,30.44,0,0,2023
13,29.78,71.46,58.13,24.42,6.13,877.91,SOYABEAN,0.027919,4411.5,4,64.64,0,1,2023
12,10.39,47.62,20.78,31.25,7.66,626.14,MOTHBEANS,0.025883,28959.76,4,39.42,1,0,2016
8,89.46,59.99,80.17,33.54,7.42,859.73,GRAPES,0.01,14431.11,2,46.82,3,4,2011
31,120.36,78.6,75.35,21.78,6.39,1667.6,TURMERIC,0.046076,25127.42,2,87.37,2,1,2022
19,107.94,50.05,52.31,32.34,6.97,781.76,JOWAR,0.03138,9775.68,1,44.27,0,0,2010
9,124.7,63.02,46.35,22.61,5.75,909.08,RICE,0.01,10780.11,2,91.01,2,0,2013
8,113.52,74.86,70.31,28.41,7.42,339.71,GRAPES,0.019154,20860.14,2,56.35,2,2,2016
16,89.49,69.51,59.17,25.87,6.66,930.93,ONION,0.313769,44317.56,2,67.0,1,0,2011
24,128.46,63.76,69.71,22.1,6.85,1583.04,TURMERIC,0.122418,40173.35,1,87.46,1,2,2016
31,123.03,65.29,72.83,27.99,6.55,1098.86,TURMERIC,0.118154,30857.26,3,62.82,2,0,2014
17,86.24,48.17,54.81,26.36,7.98,322.33,JOWAR,0.017453,49669.04,2,43.7,0,0,2019
2,157.23,69.61,79.46,34.22,7.49,1958.77,SUGARCANE,0.346962,25264.76,2,73.17,3,1,2019
3,144.85,84.12,66.3,28.06,6.17,1636.52,BANANA,0.75112,10861.81,3,66.51,2,1,2023
21,152.69,79.97,70.83,30.95,6.46,1223.44,BANANA,0.299644,4336.87,1,64.11,3,2,2018
21,26.99,59.64,38.01,19.27,6.39,656.03,GRAM,0.02035,38133.58,3,46.98,0,4,2017
15,22.77,48.48,49.3,21.85,7.65,515.52,LENTIL,0.032222,45893.5,3,56.91,1,4,2021
29,107.69,70.46,81.51,27.63,6.78,421.66,GRAPES,0.045863,18997.16,2,41.41,4,4,2019
19,88.89,40.5,54.28,29.09,6.67,654.19,JOWAR,0.051462,25175.94,3,59.96,0,0,2010
22,31.86,73.58,48.53,21.2,6.65,997.04,SOYABEAN,0.01,13591.01,2,59.42,1,4,2012
22,119.75,58.73,51.05,15.33,6.89,373.09,WHEAT,0.048453,15654.38,4,35.29,0,1,2011
12,27.84,49.38,40.4,25.93,7.34,421.2,BLACKGRAM,0.142938,37524.96,4,50.09,2,3,2018
3,28.29,47.25,22.78,31.69,7.37,465.89,MOTHBEANS,0.017401,25900.1,2,32.64,0,1,2014
24,33.64,50.57,58.98,24.09,6.27,844.54,GROUNDNUT,0.015851,19062.79,3,60.99,0,4,2021
5,126.22,69.8,52.25,11.6,6.33,334.19,WHEAT,0.044807,35379.21,2,43.28,2,1,2016
24,133.94,69.37,79.5,28.76,6.56,1453.48,TURMERIC,0.156693,27667.61,4,62.1,1,2,2016
10,109.68,43.07,42.11,25.19,7.09,750.93,JOWAR,0.029612,11262.24,3,49.63,0,0,2016
19,25.64,58.12,41.3,20.58,7.33,480.57,GRAM,0.035056,27801.52,2,36.11,2,4,2016
26,143.37,77.45,74.62,28.18,7.02,1139.83,SUGARCANE,1.020042,23355.24,1,58.0,1,2,2013
14,119.49,71.22,96.44,23.19,5.52,609.0,POTATO,0.114825,44335.75,1,72.16,1,0,2014
23,22.2,55.62,55.94,25.56,6.94,882.83,GROUNDNUT,0.01,43233.65,2,65.57,0,3,2020
28,106.01,64.44,83.34,23.03,5.7,596.58,POTATO,0.089326,36852.32,4,66.97,2,0,2020
30,104.07,65.81,50.35,16.93,7.37,757.39,WHEAT,0.073418,38786.26,2,45.05,0,1,2023
15,27.05,56.32,56.28,31.47,6.07,426.2,GROUNDNUT,0.01,10039.58,2,45.9,0,4,2016
23,80.3,60.39,85.02,21.87,6.2,707.97,GRAPES,0.025995,13972.01,3,71.27,4,3,2022
14,118.85,58.51,68.0,30.13,7.72,1028.67,COTTON,0.083622,1060.34,1,65.91,2,0,2018
4,22.46,62.8,44.26,20.92,6.32,646.53,SOYABEAN,0.016229,21898.23,1,60.86,0,2,2010
2,31.31,51.31,46.53,31.49,6.98,445.97,BLACKGRAM,0.031674,31584.63,2,74.93,0,3,2016
21,100.89,58.95,65.06,26.82,6.08,317.24,ONION,0.062725,11333.16,2,73.27,4,1,2014
32,33.32,57.39,61.52,25.7,6.52,1026.57,GROUNDNUT,0.032143,9753.1,4,69.47,0,1,2012
8,102.24,59.58,67.47,32.18,6.64,1113.96,COTTON,0.079436,18706.65,2,56.79,1,0,2012
27,108.75,61.04,50.35,21.69,6.16,722.27,WHEAT,0.019632,40483.7,2,44.18,1,1,2011
28,24.54,61.13,56.49,34.4,6.88,674.38,GROUNDNUT,0.01,38553.02,4,48.95,1,4,2022
25,134.74,61.89,74.72,23.67,5.58,1425.13,TURMERIC,0.135321,36761.63,4,89.05,3,1,2021
33,124.69,62.22,91.49,23.03,6.23,870.26,POTATO,0.138674,20561.76,4,56.82,0,1,2017
25,82.81,61.93,70.8,20.32,6.49,498.84,ONION,0.084138,16754.69,2,60.94,4,1,2021
