N,P,K,temperature,humidity,ph,rainfall,label,yield
48.2,71.8,26.8,25.9,63.9,6.3,166.7,soybean,2.6
29.0,53.2,34.1,24.8,84.9,6.11,162.2,soybean,3.32
33.8,60.8,28.8,28.0,72.5,6.93,134.7,soybean,2.64
40.2,76.2,25.5,29.7,80.3,6.86,117.9,soybean,3.2
50.5,45.6,29.2,24.5,68.1,6.39,158.4,soybean,2.11
22.9,70.6,43.8,24.0,78.1,6.92,156.1,soybean,2.45
51.2,51.7,44.1,23.3,80.1,6.09,65.3,soybean,3.53
37.5,51.5,23.9,25.0,65.5,6.94,60.5,soybean,1.63
71.9,26.8,39.7,26.3,65.4,7.78,110.3,cotton,2.64
69.6,29.6,48.9,30.1,56.9,6.9,133.6,cotton,2.53
113.1,40.2,39.3,24.5,52.7,7.93,109.9,cotton,2.07
63.7,44.7,26.5,32.5,63.4,6.55,53.0,cotton,2.66
63.1,42.7,30.5,27.1,56.2,7.72,79.7,cotton,1.85
72.2,29.5,22.5,24.1,60.4,7.76,55.7,cotton,1.84
113.4,40.4,27.2,27.5,55.3,6.26,88.0,cotton,2.52
96.6,28.9,30.4,32.3,72.0,6.64,107.2,cotton,1.89
104.3,25.1,32.8,28.3,54.6,6.19,84.8,cotton,3.04
82.9,21.2,38.0,23.2,63.6,7.5,92.4,cotton,1.91
61.5,32.9,46.5,25.2,64.4,7.37,56.1,cotton,1.71
100.2,33.2,42.0,33.3,69.0,7.98,125.4,cotton,2.87
103.8,44.1,48.0,28.2,66.0,7.03,135.1,cotton,2.25
108.0,48.9,27.5,31.2,68.9,7.87,140.7,cotton,2.47
70.0,49.2,27.7,31.4,69.9,6.88,71.1,cotton,1.81
90.6,22.7,41.5,25.3,71.9,6.62,70.0,cotton,1.61
87.0,42.5,33.9,26.5,56.5,6.56,142.8,cotton,1.6
79.6,22.7,27.5,22.8,69.8,7.03,83.7,cotton,2.5
116.4,48.8,40.4,32.6,69.8,6.98,120.4,cotton,1.61
117.7,22.5,45.1,34.1,55.7,7.05,142.8,cotton,2.94
80.9,40.9,26.6,26.2,50.6,6.31,106.2,cotton,2.46
106.7,32.5,28.2,22.2,55.2,6.62,67.8,cotton,1.56
100.0,38.9,48.1,32.4,64.2,6.28,106.4,cotton,1.64
83.4,32.8,28.4,30.9,71.0,7.54,112.8,cotton,2.27
103.4,36.3,28.1,26.3,73.4,7.25,97.6,cotton,2.4
88.2,28.7,33.2,30.9,51.0,7.59,78.3,cotton,2.51
99.2,38.2,48.8,28.6,68.3,7.41,73.6,cotton,1.98
76.7,31.0,31.7,29.9,55.5,7.61,93.8,cotton,2.53
88.2,20.8,40.3,26.5,73.7,6.65,106.4,cotton,1.74
88.0,31.1,26.1,23.4,53.0,8.0,91.2,cotton,1.64
61.2,32.6,41.5,33.9,67.8,6.93,147.4,cotton,1.43
111.0,47.9,27.6,23.9,66.6,7.03,102.3,cotton,2.69
78.7,32.0,24.0,24.5,53.6,7.62,120.5,cotton,2.38
108.8,46.4,36.4,32.7,62.8,6.95,136.5,cotton,2.06
78.3,35.6,36.3,30.6,60.8,6.44,136.7,cotton,2.01
72.4,36.8,36.1,32.8,53.5,7.82,103.1,cotton,2.37
62.2,34.9,27.9,26.5,66.2,7.0,59.3,cotton,1.65
71.5,38.2,25.3,33.5,55.2,6.18,137.6,cotton,1.97
117.5,48.3,41.4,22.9,64.8,7.98,144.7,cotton,1.68
78.9,23.9,40.8,25.6,58.6,6.18,99.8,cotton,1.65
68.6,48.6,24.3,28.8,54.9,6.15,70.2,cotton,1.59
89.6,39.6,22.6,27.7,64.5,6.47,87.2,cotton,1.65
88.0,49.7,49.9,34.7,60.6,6.16,82.4,cotton,1.84
65.7,33.6,30.2,24.3,67.9,6.71,135.2,cotton,1.83
71.0,34.9,24.6,24.1,65.3,6.53,67.2,cotton,2.87
93.9,36.4,27.5,27.9,52.2,7.44,72.2,cotton,1.71
114.1,43.9,48.4,30.5,66.6,6.96,140.5,cotton,2.38
98.4,36.4,23.7,27.1,57.8,7.69,87.9,cotton,2.58
105.2,24.1,47.7,28.2,56.5,6.48,76.5,cotton,1.9
117.0,40.1,36.4,27.8,70.7,7.7,79.3,cotton,2.91
108.0,49.0,41.1,24.1,64.7,6.24,128.9,cotton,2.05
114.6,25.4,31.8,30.4,60.5,6.35,52.9,cotton,2.08
94.4,24.7,33.5,26.8,56.9,7.46,81.0,cotton,2.23
92.4,38.5,22.2,24.3,52.5,7.53,133.6,cotton,1.8
79.4,37.7,38.7,30.9,72.6,6.59,115.9,cotton,2.43
114.4,22.9,41.4,31.5,72.9,7.04,82.2,cotton,2.72
90.0,43.0,28.0,29.7,71.6,6.64,98.4,cotton,2.97
113.2,31.6,49.9,24.0,63.0,6.96,129.8,cotton,3.03
97.6,32.8,35.3,28.6,50.5,7.01,135.6,cotton,2.55
83.4,35.9,21.0,27.0,61.9,6.51,53.1,cotton,2.58
84.9,27.5,36.1,27.7,61.8,7.16,50.6,cotton,2.94
87.1,26.2,35.7,25.6,71.5,6.79,113.9,cotton,1.86
84.2,36.1,33.8,34.5,67.7,7.99,79.5,cotton,2.65
96.7,49.6,39.6,33.7,68.1,6.25,119.9,cotton,2.19
108.4,23.1,24.0,22.9,62.3,6.16,122.4,cotton,2.39
76.8,35.6,23.5,33.5,54.4,6.2,70.5,cotton,2.53
96.9,42.4,42.5,24.5,51.5,6.9,70.2,cotton,2.5
87.0,23.4,37.0,24.4,67.0,6.14,147.6,cotton,2.58
60.8,30.0,24.6,24.8,71.8,7.21,67.6,cotton,2.33
118.6,21.0,42.0,32.0,51.7,6.34,88.4,cotton,2.79
99.3,43.5,44.8,28.2,62.7,7.44,76.3,cotton,2.75
71.7,44.0,30.2,23.9,54.7,7.06,134.6,cotton,1.64
87.9,48.7,28.4,34.5,72.2,6.57,131.7,cotton,2.52
85.4,44.5,43.8,31.8,75.0,6.96,130.7,cotton,2.76
62.5,32.1,45.7,25.8,67.5,6.01,85.5,cotton,2.42
113.8,24.7,47.3,24.8,74.9,7.21,58.4,cotton,1.52
95.4,44.3,32.1,27.8,64.7,7.07,118.8,cotton,2.25
119.8,30.5,20.4,23.6,63.8,6.69,144.0,cotton,2.46
107.9,27.8,44.6,22.0,65.5,7.87,128.8,cotton,2.75
109.5,36.5,38.6,22.8,55.0,7.1,55.9,cotton,2.56
115.2,23.1,48.2,22.9,61.9,7.68,57.0,cotton,1.54
90.7,44.3,23.8,23.6,64.2,6.47,123.0,cotton,2.94
112.6,35.6,45.0,24.4,51.7,7.31,55.2,cotton,2.7
117.1,29.4,34.6,31.6,56.1,7.08,115.9,cotton,2.93
88.5,37.7,24.4,27.6,57.1,6.24,101.2,cotton,1.67
70.2,41.7,25.9,33.7,50.7,7.04,82.0,cotton,1.94
110.5,47.5,29.1,24.0,68.0,7.16,70.1,cotton,2.67
99.2,30.8,33.2,24.3,68.9,6.31,127.8,cotton,2.82
61.2,28.2,34.1,29.7,73.0,6.75,137.5,cotton,1.9
63.1,42.3,24.5,25.3,69.4,7.07,51.4,cotton,1.5
78.3,25.4,38.4,25.0,64.8,6.76,68.7,cotton,1.64
61.8,29.2,47.1,32.8,59.3,7.15,106.7,cotton,2.82
77.8,29.1,21.2,26.1,71.9,7.82,61.0,cotton,2.18
89.4,36.6,20.6,32.9,74.3,7.31,116.0,cotton,2.21
68.9,37.5,21.3,32.7,60.5,6.83,82.7,cotton,2.98
69.1,25.0,39.8,34.9,55.9,7.81,77.9,cotton,2.53
89.7,39.6,36.1,25.1,70.7,7.94,95.9,cotton,2.42
74.5,45.9,28.4,32.1,52.8,6.58,103.4,cotton,2.33
119.8,23.2,28.1,26.6,62.0,6.99,135.6,cotton,2.66
87.3,38.5,33.8,23.7,59.9,6.82,68.8,cotton,2.73
115.3,60.6,56.3,23.7,72.3,6.1,164.7,sugarcane,58.71
94.7,43.4,42.4,32.8,87.0,6.97,183.7,sugarcane,70.68
94.1,62.0,53.1,26.4,83.1,6.46,175.5,sugarcane,53.49
131.9,45.7,41.0,22.7,70.6,7.48,174.0,sugarcane,61.17
138.8,50.1,51.8,26.0,71.4,6.87,100.2,sugarcane,70.28
124.8,70.8,51.7,22.3,84.1,7.48,136.4,sugarcane,57.36
89.6,66.4,52.7,22.5,81.1,6.65,145.5,sugarcane,75.82
101.9,73.9,35.7,33.5,71.6,6.48,111.3,sugarcane,70.72
131.0,79.3,50.2,32.8,80.1,7.33,196.6,sugarcane,75.55
109.8,69.2,36.1,25.0,89.6,6.37,127.3,sugarcane,60.43
117.4,76.9,59.6,31.1,84.0,6.14,228.6,sugarcane,57.73
138.4,74.6,39.1,31.5,79.3,6.15,143.0,sugarcane,55.99
106.8,60.5,36.5,35.1,82.8,7.3,116.4,sugarcane,69.86
99.9,47.8,38.0,25.8,78.9,6.15,140.7,sugarcane,68.4
100.4,67.6,35.3,25.1,74.0,5.5,171.1,sugarcane,51.62
139.7,76.7,36.5,26.3,79.3,7.19,220.4,sugarcane,49.75
132.2,75.3,33.2,30.0,73.1,6.87,237.5,sugarcane,66.08
114.8,56.3,54.3,26.8,87.5,6.05,123.6,sugarcane,59.67
96.9,66.4,34.3,23.6,72.6,5.66,231.2,sugarcane,78.99
125.6,69.5,59.9,26.9,75.7,6.41,228.5,sugarcane,70.51
94.7,69.1,55.6,27.6,83.4,6.3,171.8,sugarcane,66.45
138.7,57.8,40.3,27.2,72.7,6.09,113.0,sugarcane,62.4
100.8,71.7,37.4,30.6,88.0,6.63,129.1,sugarcane,61.46
110.4,45.9,43.4,29.6,75.3,6.72,110.5,sugarcane,59.45
95.6,64.2,42.3,26.4,88.3,6.19,135.5,sugarcane,81.38
120.9,42.0,33.9,30.9,74.2,5.95,216.9,sugarcane,59.76
82.2,57.7,48.5,34.2,72.2,5.89,179.5,sugarcane,56.21
135.4,61.8,42.5,35.9,71.3,7.36,175.2,sugarcane,63.86
110.4,57.5,38.2,31.2,81.4,5.93,206.4,sugarcane,69.54
80.3,57.9,30.2,23.0,78.6,5.66,141.3,sugarcane,68.62
139.9,76.7,47.6,35.5,87.4,6.14,212.4,sugarcane,53.44
109.5,40.7,38.2,35.4,76.3,5.86,128.1,sugarcane,66.8
125.5,57.5,36.3,22.6,79.3,7.13,209.5,sugarcane,61.37
106.2,63.2,45.5,31.5,80.2,7.38,164.2,sugarcane,52.1
110.0,61.6,46.6,32.0,75.5,6.83,205.6,sugarcane,61.82
90.7,56.6,53.6,34.7,81.9,6.1,202.3,sugarcane,73.51
129.6,42.9,30.3,23.7,73.1,7.26,163.7,sugarcane,59.94
103.7,52.1,34.1,31.2,72.7,7.05,130.3,sugarcane,71.36
87.5,43.5,58.5,28.5,82.6,5.55,141.8,sugarcane,65.04
96.3,71.0,49.9,23.6,75.9,5.98,166.4,sugarcane,69.82
94.7,67.8,47.5,29.3,81.1,5.94,202.1,sugarcane,65.91
89.0,63.9,48.1,26.8,87.2,7.19,116.4,sugarcane,71.15
140.0,49.0,38.4,28.2,75.4,6.88,172.1,sugarcane,56.52
133.3,71.7,45.0,26.0,73.6,7.26,206.5,sugarcane,67.18
87.3,67.3,36.5,23.7,79.3,6.27,241.2,sugarcane,60.24
124.9,66.7,57.6,27.7,77.8,5.82,141.4,sugarcane,77.85
100.5,48.6,44.5,32.0,75.7,7.02,194.5,sugarcane,73.6
117.9,46.1,40.9,32.1,82.6,5.88,228.8,sugarcane,50.59
139.0,61.3,54.0,30.3,85.7,6.81,203.7,sugarcane,54.86
94.3,79.2,36.8,25.3,87.2,5.99,154.1,sugarcane,72.04
89.5,59.5,37.3,25.3,70.2,6.24,147.7,sugarcane,49.83
117.6,42.8,39.5,34.2,81.6,6.32,169.8,sugarcane,55.28
134.8,76.4,36.7,26.4,73.2,6.11,149.9,sugarcane,67.64
135.2,44.1,30.2,34.0,84.1,6.21,189.3,sugarcane,56.04
108.3,54.1,48.5,25.1,83.3,7.03,125.0,sugarcane,51.98
126.4,66.0,51.1,27.6,74.7,6.56,130.7,sugarcane,70.54
97.5,60.3,44.6,30.4,78.7,7.34,226.0,sugarcane,76.41
118.1,64.4,43.0,26.5,81.8,5.55,101.1,sugarcane,76.3
111.5,64.6,35.9,34.5,73.8,7.27,214.4,sugarcane,56.72
99.0,55.9,37.4,36.0,74.6,7.16,123.9,sugarcane,80.99
105.3,62.3,33.6,33.4,75.5,6.6,182.4,sugarcane,69.13
90.1,46.4,39.1,24.0,88.4,6.53,193.5,sugarcane,61.26
110.2,51.8,40.3,28.3,80.1,7.47,133.5,sugarcane,64.76
101.0,68.7,35.2,30.1,78.3,5.6,240.0,sugarcane,62.6
105.0,77.5,38.7,27.8,85.2,6.19,154.7,sugarcane,79.18
121.4,65.7,54.8,34.1,81.3,6.09,103.4,sugarcane,71.28
107.0,46.6,38.6,29.1,86.7,5.84,191.8,sugarcane,71.76
87.0,77.1,48.0,32.7,71.1,6.51,193.4,sugarcane,58.76
113.3,62.1,31.3,28.2,74.3,7.33,246.5,sugarcane,60.16
93.2,59.1,56.2,29.0,71.1,5.58,134.1,sugarcane,73.5
113.8,52.8,57.9,26.6,86.7,7.29,172.5,sugarcane,76.57
119.5,43.5,44.2,25.0,71.3,5.51,148.7,sugarcane,68.76
98.1,79.6,58.2,23.8,78.3,6.8,210.0,sugarcane,63.05
87.4,53.3,51.5,30.8,86.7,5.59,126.2,sugarcane,50.36
80.3,60.2,45.8,31.2,77.7,5.51,201.1,sugarcane,50.16
81.4,61.2,56.8,30.0,82.2,6.86,118.4,sugarcane,70.17
138.5,57.7,40.3,32.5,80.9,6.01,125.8,sugarcane,53.63
90.2,40.8,31.6,35.0,71.5,5.65,167.7,sugarcane,60.4
134.7,56.2,43.5,27.3,70.8,6.09,118.4,sugarcane,51.65
85.9,44.1,44.4,28.2,72.8,5.51,128.9,sugarcane,56.51
134.9,56.2,42.2,32.0,82.5,5.87,116.2,sugarcane,64.33
88.3,51.7,39.2,25.7,79.2,6.81,176.4,sugarcane,58.27
129.3,59.2,31.9,25.6,86.1,7.0,231.4,sugarcane,67.25
105.6,47.8,49.5,30.2,73.1,7.27,155.3,sugarcane,53.11
132.2,76.7,44.7,35.4,87.5,7.15,229.0,sugarcane,61.53
114.6,68.8,35.3,32.2,89.2,6.11,247.9,sugarcane,59.13
86.7,71.4,46.6,26.3,82.2,6.16,167.3,sugarcane,76.97
125.7,63.3,59.7,25.4,75.2,5.69,183.1,sugarcane,67.4
100.1,40.5,49.0,36.0,75.9,5.87,142.3,sugarcane,62.76
118.3,53.8,41.9,22.6,88.4,6.31,149.2,sugarcane,52.7
131.8,41.6,34.4,24.0,82.0,7.34,165.7,sugarcane,59.96
124.6,49.9,34.8,27.0,85.5,6.89,199.9,sugarcane,75.69
100.4,41.7,56.1,30.2,76.0,5.64,208.5,sugarcane,73.05
92.2,76.5,52.6,31.2,83.0,7.31,239.2,sugarcane,67.06
101.8,72.8,49.3,23.1,72.8,7.3,232.7,sugarcane,77.51
127.0,73.1,39.5,24.0,89.9,5.56,189.6,sugarcane,68.19
95.3,68.9,36.5,33.6,74.4,6.89,217.5,sugarcane,53.44
126.7,43.4,35.7,28.4,88.6,6.62,158.2,sugarcane,76.35
106.0,56.5,39.4,26.6,83.8,5.58,202.3,sugarcane,56.22
88.8,62.1,51.9,27.0,73.3,5.95,222.7,sugarcane,58.6
53.2,57.5,103.6,16.7,60.6,6.44,64.8,potato,20.38
59.6,81.4,60.4,21.3,72.9,6.43,131.7,potato,29.81
54.3,67.7,99.5,16.3,74.6,5.14,133.0,potato,18.43
46.2,55.2,108.7,20.2,74.8,6.44,77.1,potato,26.25
61.5,67.8,60.4,17.7,75.0,5.26,143.2,potato,23.25
65.8,57.7,63.8,18.9,62.2,5.16,124.0,potato,16.68
71.8,55.7,91.1,13.0,72.7,5.09,144.4,potato,18.49
45.1,58.4,87.1,17.7,80.0,5.04,50.0,potato,18.8
75.4,86.5,112.8,13.4,68.2,6.12,81.3,potato,26.44
52.9,84.4,75.0,21.6,66.1,5.04,75.5,potato,17.62
44.5,75.0,112.5,15.6,63.4,5.6,128.6,potato,23.37
61.5,68.7,79.6,13.1,79.6,5.26,69.3,potato,18.39
57.7,60.0,85.8,18.7,65.6,6.37,80.6,potato,18.41
72.4,63.7,110.5,17.2,66.9,6.26,125.2,potato,20.33
54.8,50.0,117.7,17.5,72.0,5.9,105.1,potato,20.37
64.9,76.8,87.3,14.9,61.3,5.53,67.6,potato,24.9
52.1,63.3,100.2,13.5,78.6,5.55,60.1,potato,16.81
49.9,76.5,69.4,13.9,77.6,5.22,51.9,potato,21.52
53.0,55.1,118.9,18.8,77.0,6.13,119.8,potato,20.62
68.7,78.7,117.0,17.7,65.9,5.73,111.4,potato,22.08
63.4,50.4,94.2,18.3,78.3,5.62,107.4,potato,22.4
42.7,85.9,114.6,17.5,71.1,5.09,109.8,potato,21.91
41.9,78.4,77.2,18.5,72.5,5.34,94.0,potato,28.97
42.7,67.7,78.7,18.4,72.3,5.02,110.8,potato,26.29
42.4,62.1,85.3,13.8,68.4,5.11,61.3,potato,25.09
68.5,51.9,93.8,15.9,75.9,6.18,87.6,potato,25.32
63.2,53.3,86.1,13.8,77.7,5.67,109.1,potato,20.91
48.1,86.5,108.0,13.3,74.9,5.63,51.5,potato,22.9
48.4,77.8,75.4,20.9,73.1,6.25,111.5,potato,28.46
62.0,70.6,114.2,13.6,71.6,6.13,87.0,potato,28.75
46.9,73.4,85.2,12.2,61.4,5.29,126.9,potato,28.57
44.2,71.4,111.3,19.5,65.8,5.19,140.1,potato,27.23
72.9,53.9,63.8,19.6,70.7,5.62,140.4,potato,28.06
64.6,80.9,93.0,21.8,73.7,5.16,69.8,potato,28.52
43.9,54.0,105.8,12.6,61.4,6.33,130.0,potato,28.35
52.9,86.3,77.9,14.8,77.7,6.02,139.6,potato,18.61
64.5,76.7,114.8,15.8,74.4,5.96,128.8,potato,28.81
42.7,57.3,117.2,21.7,79.3,5.06,88.2,potato,26.42
43.4,74.4,68.6,16.9,64.8,5.08,58.0,potato,25.37
56.5,64.3,97.0,15.5,74.9,6.2,137.6,potato,18.98
48.9,51.5,102.5,17.5,74.5,5.13,149.6,potato,28.42
74.6,59.7,104.3,20.8,76.3,6.22,96.3,potato,26.89
45.3,54.6,106.3,18.3,70.4,6.36,116.0,potato,21.16
64.2,80.4,93.9,17.1,74.5,6.06,133.0,potato,15.96
60.6,53.0,100.7,19.2,70.5,6.19,80.0,potato,19.45
56.4,77.8,110.7,19.2,63.5,5.55,65.8,potato,26.66
61.0,81.7,100.3,15.0,66.7,5.98,104.9,potato,15.06
60.5,68.9,71.9,15.8,66.7,5.41,106.7,potato,22.06
77.7,58.8,66.0,19.9,79.9,6.3,52.4,potato,18.42
72.8,73.3,90.8,17.5,65.0,5.9,53.1,potato,23.41
66.9,63.3,109.6,19.2,62.6,5.29,113.7,potato,17.95
46.2,56.6,88.7,18.1,63.5,6.07,78.1,potato,20.06
71.4,88.4,89.5,12.4,65.2,5.24,134.3,potato,17.13
63.5,70.7,110.8,12.3,75.5,5.17,134.1,potato,22.49
73.3,51.1,68.3,20.0,69.3,6.32,113.5,potato,24.79
45.3,88.4,66.3,17.3,65.5,5.4,109.5,potato,26.76
74.8,61.7,87.9,12.1,74.9,5.45,106.1,potato,18.57
72.7,85.1,62.8,21.9,65.0,5.46,74.9,potato,19.17
49.6,65.8,99.3,20.4,73.9,5.89,64.8,potato,26.52
50.6,52.3,100.0,15.7,73.0,5.52,95.6,potato,21.56
57.2,75.6,92.8,12.8,73.4,5.46,51.4,potato,15.92
52.4,77.8,74.4,19.7,65.7,5.93,129.9,potato,20.17
61.4,89.8,118.1,14.2,75.1,5.52,66.0,potato,24.98
61.6,83.1,80.2,18.7,67.3,5.06,87.8,potato,30.06
44.3,77.5,117.8,21.1,71.4,5.56,108.1,potato,28.14
72.8,68.2,67.1,17.7,63.1,5.09,99.9,potato,25.82
71.3,84.3,105.6,19.0,60.2,5.94,62.0,potato,15.5
72.9,79.8,116.9,21.8,77.9,5.2,137.8,potato,28.74
46.1,54.7,115.4,13.7,67.4,5.68,62.4,potato,16.2
75.1,86.5,77.1,14.2,68.5,5.68,50.6,potato,26.57
55.7,53.8,76.0,17.0,68.6,5.82,134.9,potato,18.53
41.5,55.4,94.2,20.1,77.7,5.95,90.3,potato,17.14
53.3,84.8,89.2,14.3,65.8,5.2,141.9,potato,15.88
47.3,82.4,91.4,18.3,67.2,5.1,135.6,potato,18.06
62.9,53.3,65.7,20.0,69.8,5.36,84.9,potato,25.27
44.7,74.7,96.4,21.7,67.5,5.1,103.8,potato,24.67
62.1,57.9,110.7,20.4,68.6,6.45,148.0,potato,18.37
64.0,53.4,83.0,14.6,79.0,5.62,126.3,potato,20.76
74.5,50.0,63.4,15.6,73.7,5.51,56.6,potato,19.61
61.4,54.7,77.2,18.4,74.5,5.4,82.9,potato,19.4
47.6,57.3,86.7,13.9,63.1,5.14,114.0,potato,24.35
70.9,63.1,115.1,19.3,76.1,6.08,85.8,potato,19.55
43.9,68.1,62.6,12.0,78.6,6.03,106.2,potato,20.91
75.7,76.1,96.1,16.6,66.9,6.05,148.1,potato,21.44
57.1,67.0,119.4,19.1,67.2,5.56,93.1,potato,15.07
72.5,76.4,71.9,19.3,74.4,5.39,112.3,potato,24.75
45.4,57.8,89.2,12.4,68.3,6.18,64.9,potato,23.39
60.2,69.9,93.5,13.9,62.9,6.02,89.6,potato,18.96
73.8,51.3,105.0,15.8,72.0,5.37,65.5,potato,23.54
47.8,67.5,86.7,14.2,71.3,5.22,101.0,potato,18.24
52.5,68.1,86.0,21.1,69.8,6.23,72.6,potato,19.25
56.8,76.7,110.3,17.7,72.8,5.27,53.7,potato,27.22
43.6,87.5,117.8,18.2,67.6,6.25,70.5,potato,22.75
76.5,86.8,99.1,13.1,69.6,5.37,138.5,potato,17.19
68.2,68.1,110.3,12.7,76.0,5.06,52.8,potato,22.67
63.7,51.0,62.1,19.3,64.2,5.98,125.0,potato,15.73
50.7,65.6,65.2,20.4,71.2,5.76,146.9,potato,19.92
68.8,87.1,114.5,21.9,62.6,6.19,130.4,potato,24.16
78.6,58.2,90.0,17.2,63.2,6.08,58.9,potato,26.72
54.0,78.4,69.4,20.5,79.0,5.23,119.2,potato,22.23
85.3,59.5,64.0,20.8,69.5,6.8,61.0,tomato,31.64
92.3,63.2,56.1,21.0,70.9,6.94,100.9,tomato,28.3
69.0,57.1,53.5,19.8,77.8,6.81,140.6,tomato,39.33
64.2,65.5,78.2,26.7,72.4,6.53,127.3,tomato,38.25
71.7,50.9,60.0,21.9,83.6,6.26,97.2,tomato,27.11
76.0,45.2,74.8,22.3,70.8,5.81,105.3,tomato,33.92
52.6,78.9,68.2,21.4,65.1,5.94,137.6,tomato,26.73
85.3,74.9,66.3,27.0,64.3,6.82,77.6,tomato,23.46
60.1,45.5,65.0,21.8,63.3,6.4,125.9,tomato,35.69
77.8,72.5,46.4,20.5,60.1,6.29,69.5,tomato,35.74
60.4,66.0,48.5,18.2,79.0,6.15,144.7,tomato,30.91
72.5,48.1,75.1,26.3,68.5,6.29,116.9,tomato,35.01
51.1,44.6,55.8,23.6,63.4,6.12,94.2,tomato,22.72
80.0,55.5,60.3,21.8,81.4,6.36,99.5,tomato,40.79
90.6,49.0,46.1,26.3,71.7,6.53,126.1,tomato,25.36
74.5,50.9,66.7,27.0,71.8,6.59,101.0,tomato,33.7
86.9,68.6,50.7,24.7,81.4,5.87,123.6,tomato,37.32
70.1,64.3,79.7,24.8,62.9,5.57,129.0,tomato,30.23
67.4,70.3,58.6,28.4,78.4,6.96,138.9,tomato,24.59
51.0,79.6,50.4,26.0,81.2,5.74,134.8,tomato,20.0
73.6,55.0,63.5,29.0,68.2,6.37,137.7,tomato,34.62
97.1,41.9,63.6,24.9,79.7,5.72,67.9,tomato,35.43
73.5,69.3,66.0,20.5,67.6,6.95,94.9,tomato,20.05
67.1,80.0,52.1,18.3,72.8,5.63,77.4,tomato,38.84
52.5,57.9,46.9,19.5,74.7,6.26,124.3,tomato,36.07
96.1,60.7,50.4,28.1,60.9,6.34,122.2,tomato,27.67
62.0,73.6,43.1,19.9,69.5,6.78,64.5,tomato,39.42
72.6,54.1,44.7,29.3,71.0,6.54,107.5,tomato,28.65
94.9,68.0,61.3,25.7,75.2,6.15,112.5,tomato,28.94
98.4,78.4,72.8,25.2,78.7,5.77,97.9,tomato,25.11
98.3,74.6,60.5,21.0,77.3,6.15,130.3,tomato,38.35
62.2,50.7,43.7,22.7,60.4,5.67,77.2,tomato,24.1
55.3,74.6,48.8,19.3,60.3,6.57,75.7,tomato,31.91
99.3,45.0,56.5,28.2,66.1,5.9,130.8,tomato,25.45
71.4,40.5,76.4,25.7,74.6,5.8,120.0,tomato,34.3
94.0,63.2,71.7,21.2,63.1,6.55,129.4,tomato,27.88
90.9,48.2,53.6,25.5,62.5,5.61,52.6,tomato,37.67
83.0,79.6,66.8,24.3,73.0,6.07,110.0,tomato,40.19
71.2,53.3,75.3,19.6,81.2,5.88,121.6,tomato,38.35
59.6,73.8,54.7,21.8,72.8,6.15,118.3,tomato,22.1
94.6,41.4,58.3,25.9,82.2,6.39,132.4,tomato,23.57
97.1,75.4,62.3,23.7,71.3,5.59,139.2,tomato,37.28
64.0,53.7,44.9,26.7,73.9,5.85,112.3,tomato,41.0
72.9,59.8,46.7,24.4,75.1,5.74,65.5,tomato,36.69
81.5,65.1,73.6,26.9,81.0,6.44,94.9,tomato,27.75
70.9,45.2,57.0,22.7,60.9,5.91,125.2,tomato,32.02
77.1,74.2,71.8,19.2,84.4,5.52,109.7,tomato,37.1
79.9,54.5,42.4,18.1,62.4,5.65,111.1,tomato,28.57
84.6,40.7,50.8,27.3,82.7,6.16,58.1,tomato,36.01
70.7,49.7,41.8,25.1,82.7,6.52,81.7,tomato,31.85
73.8,72.8,55.7,22.2,74.6,6.2,147.7,tomato,30.27
69.7,61.9,54.2,26.7,69.5,6.08,111.7,tomato,21.3
75.2,58.1,68.8,27.1,81.2,6.06,82.7,tomato,33.58
81.6,62.2,70.9,20.3,73.9,5.74,90.7,tomato,31.94
69.0,75.4,70.9,24.3,83.8,6.14,128.8,tomato,22.79
66.9,44.2,60.1,20.3,75.9,5.79,62.4,tomato,38.91
96.8,59.6,41.3,24.9,74.0,5.52,136.1,tomato,34.37
74.7,64.7,50.3,29.7,70.0,5.74,55.6,tomato,31.81
94.8,68.1,79.6,26.7,68.5,6.4,58.0,tomato,24.04
60.1,78.1,79.8,22.5,77.7,6.11,64.0,tomato,27.56
66.4,48.6,44.5,20.6,82.6,5.63,82.5,tomato,29.48
75.9,41.7,65.9,24.8,77.0,6.35,93.8,tomato,25.99
75.0,41.0,53.1,26.1,62.7,5.59,115.2,tomato,27.17
96.9,78.3,57.0,21.2,75.2,6.44,112.2,tomato,25.85
60.5,46.2,45.0,29.1,60.3,6.4,144.7,tomato,27.1
84.8,52.7,59.1,27.8,78.6,6.71,148.7,tomato,26.04
80.1,66.7,69.6,27.0,82.1,6.02,115.3,tomato,26.27
87.6,71.6,56.8,24.1,68.3,5.75,76.1,tomato,37.79
98.7,49.7,68.9,24.9,77.4,6.47,120.7,tomato,37.48
53.4,50.8,68.3,23.9,73.7,6.39,88.3,tomato,34.31
85.7,68.6,75.6,25.1,84.2,5.68,113.2,tomato,35.87
64.4,62.0,54.6,28.9,68.9,5.76,107.6,tomato,28.28
78.2,61.5,46.9,25.2,74.2,6.66,86.2,tomato,24.5
78.1,41.1,72.8,20.4,79.7,6.56,146.9,tomato,38.92
88.3,52.7,65.2,25.2,61.4,5.51,55.8,tomato,22.69
95.3,60.7,71.9,28.1,78.4,6.09,136.4,tomato,32.28
95.1,63.9,61.1,28.7,71.4,6.72,55.4,tomato,20.37
